2024-08-09 20:47:35,128 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:35,393 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:35,547 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:35,631 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:35,861 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:36,122 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:36,490 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:36,950 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,025 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,105 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,193 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,616 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,945 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:37,992 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,003 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,238 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,284 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,424 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,597 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:38,934 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,044 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,200 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,310 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,404 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,546 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,795 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,886 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:39,961 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:40,182 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:40,322 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:40,384 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:40,508 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:40,809 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,026 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,028 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,209 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,242 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,303 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:41,568 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,143 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,187 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,386 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,399 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,460 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,476 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,492 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:42,837 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,253 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,346 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,517 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,658 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,688 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,752 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:43,801 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,204 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,265 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,403 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,498 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,576 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:44,791 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,285 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,317 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,321 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,425 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,533 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,548 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,657 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:45,689 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,156 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,234 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,345 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,392 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,470 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,625 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,827 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:46,892 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:47,003 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:47,019 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
2024-08-09 20:47:47,398 - __main__ - INFO - method: GET | url: http://127.0.0.1:5000/api/test | status: 200 | duration: 0.0s | ip: 127.0.0.1
